g0_sw,g0_op,g0_arch,g0_func,g0_filename,g1_sw,g1_op,g1_arch,g1_func,g1_filename,ground_truth
openssl-101f,O0,arm,0,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_callback_ctrl@001220f0.c,openssl-101f,O0,mips,0,./data/decomp/openssl-101f_mips_gcc_O0_extraction/asn1_bio_callback_ctrl@0062aca0.c,1
openssl-101f,O0,arm,1,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_ctrl@00122124.c,openssl-101f,O3,arm,1,./data/decomp/openssl-101f_arm_gcc_O3_extraction/asn1_bio_ctrl@00122124.c,1
openssl-101f,O0,arm,2,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_free@001220fc.c,openssl-101f,O3,arm,2,./data/decomp/openssl-101f_arm_gcc_O3_extraction/asn1_bio_free@001220fc.c,1
openssl-101f,O0,arm,3,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_write@001222c4.c,openssl-101u,O3,arm,3,./data/decomp/openssl-101u_arm_gcc_O3_extraction/asn1_bio_write@00120fac.c,1
openssl-101f,O0,arm,4,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BIO_asn1_get_suffix@00122540.c,openssl-101f,O3,arm,4,./data/decomp/openssl-101f_arm_gcc_O3_extraction/BIO_asn1_get_suffix@00122540.c,1
openssl-101f,O0,arm,0,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_callback_ctrl@001220f0.c,openssl-101u,O2,mips,66,./data/decomp/openssl-101u_mips_gcc_O2_extraction/start_hash@0061f4c8.c,0
openssl-101f,O0,arm,1,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_ctrl@00122124.c,openssl-101u,O3,mips,53,./data/decomp/openssl-101u_mips_gcc_O3_extraction/i2d_GOST_KEY_TRANSPORT@0061c128.c,0
openssl-101f,O0,arm,2,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_free@001220fc.c,openssl-101u,O0,arm,71,./data/decomp/openssl-101u_arm_gcc_O0_extraction/___armv7_tick_from_thumb@001239c0.c,0
openssl-101f,O0,arm,3,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_write@001222c4.c,openssl-101f,O1,arm,54,./data/decomp/openssl-101f_arm_gcc_O1_extraction/mul_1x1_ialu@001225e0.c,0
openssl-101f,O0,arm,4,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BIO_asn1_get_suffix@00122540.c,openssl-101f,O3,x86,57,./data/decomp/openssl-101f_x86_gcc_O3_extraction/param_print_gost94@081d85b0.c,0
openssl-101f,O0,arm,5,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BIO_asn1_set_prefix@001224ec.c,openssl-101f,O3,mips,5,./data/decomp/openssl-101f_mips_gcc_O3_extraction/BIO_asn1_set_prefix@0062b5b0.c,1
openssl-101f,O0,arm,6,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_add@0011f668.c,openssl-101u,O0,arm,6,./data/decomp/openssl-101u_arm_gcc_O0_extraction/BN_GF2m_add@0011e2e0.c,1
