src,f_name,succs,n_num,features,sw,op,arch,file_name
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,asn1_bio_callback_ctrl,"[[], [0, 2], [3], []]",4,"[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 3, 0, 0, 2, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_callback_ctrl@001220f0.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,asn1_bio_ctrl,"[[], [0, 32], [13, 7], [2, 18], [38, 15], [], [24, 5], [13, 37], [], [8], [8], [], [1, 11], [18], [], [14, 23], [33], [16, 37], [17, 35], [29], [3, 19], [], [21, 6], [12, 22], [27, 28], [33], [25, 31], [9, 29], [], [], [29], [34, 36], [27, 20], [26, 30], [36], [10, 37], [10], [38], []]",39,"[[1, 0, 0, 0, 0, 5, 0, 0], [0, 0, 26, 0, 0, 1, 0, 0], [1, 0, 18, 0, 0, 3, 0, 0], [1, 0, 19, 0, 0, 3, 0, 0], [0, 0, 38, 0, 0, 4, 0, 0], [1, 0, 0, 0, 0, 5, 0, 0], [0, 0, 7, 0, 0, 1, 0, 0], [4, 0, 17, 0, 0, 6, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 4, 0, 0], [1, 0, 1, 0, 0, 6, 0, 0], [1, 0, 0, 0, 0, 6, 0, 0], [1, 0, 28, 0, 0, 2, 0, 0], [3, 0, 16, 0, 0, 7, 0, 0], [1, 0, 0, 0, 0, 6, 0, 0], [1, 0, 37, 0, 0, 3, 0, 0], [0, 0, 10, 0, 0, 2, 0, 0], [1, 0, 13, 0, 0, 4, 0, 0], [1, 0, 15, 0, 0, 2, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0], [1, 0, 21, 0, 0, 3, 0, 0], [1, 0, 0, 0, 0, 3, 0, 0], [1, 0, 9, 0, 0, 2, 0, 0], [0, 0, 35, 0, 0, 2, 0, 0], [1, 0, 5, 0, 0, 2, 0, 0], [0, 0, 10, 0, 0, 3, 0, 0], [1, 0, 10, 0, 0, 5, 0, 0], [0, 0, 3, 0, 0, 2, 0, 0], [1, 0, 0, 0, 0, 4, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0], [1, 0, 4, 0, 0, 2, 0, 0], [1, 0, 24, 0, 0, 2, 0, 0], [1, 0, 10, 0, 0, 6, 0, 0], [3, 0, 3, 0, 0, 5, 0, 0], [1, 0, 4, 0, 0, 2, 0, 0], [2, 0, 2, 0, 0, 4, 0, 0], [1, 0, 1, 0, 0, 3, 0, 0], [1, 0, 0, 0, 0, 2, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_ctrl@00122124.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,asn1_bio_free,"[[4], [0, 4], [], [1, 2], []]",5,"[[0, 0, 1, 0, 0, 1, 0, 0], [0, 0, 2, 0, 0, 2, 0, 0], [0, 0, 0, 0, 0, 2, 0, 0], [0, 0, 4, 0, 0, 4, 0, 0], [2, 0, 0, 0, 0, 8, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_free@001220fc.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,asn1_bio_write,"[[25, 31, 20, 22, 23], [0, 32], [1], [2, 21], [19], [19, 4], [33, 14], [6], [6], [11], [9, 35], [], [11, 13], [34, 11], [11, 15], [11], [11], [11], [17, 30], [1], [3, 14], [1], [24, 28], [10, 35], [], [27, 30], [28], [18, 29], [1], [18], [1], [1, 7], [], [8, 5], [16, 36], [1], [1]]",37,"[[0, 0, 31, 0, 0, 1, 0, 0], [1, 0, 31, 0, 0, 2, 0, 0], [0, 0, 31, 0, 0, 5, 0, 0], [1, 0, 31, 0, 0, 5, 0, 0], [3, 0, 31, 0, 0, 5, 0, 0], [0, 0, 31, 0, 0, 1, 0, 0], [1, 0, 31, 0, 0, 6, 0, 0], [0, 0, 31, 0, 0, 2, 0, 0], [0, 0, 31, 0, 0, 3, 0, 0], [1, 0, 1, 0, 0, 3, 0, 0], [4, 0, 31, 0, 0, 8, 0, 0], [1, 0, 0, 0, 0, 3, 0, 0], [5, 0, 35, 0, 0, 10, 0, 0], [0, 0, 34, 0, 0, 3, 0, 0], [2, 0, 2, 0, 0, 10, 0, 0], [0, 0, 1, 0, 0, 2, 0, 0], [0, 0, 1, 0, 0, 2, 0, 0], [1, 0, 1, 0, 0, 7, 0, 0], [1, 0, 31, 0, 0, 2, 0, 0], [2, 0, 31, 0, 0, 5, 0, 0], [1, 0, 31, 0, 0, 8, 0, 0], [1, 0, 31, 0, 0, 4, 0, 0], [1, 0, 31, 0, 0, 9, 0, 0], [0, 0, 31, 0, 0, 2, 0, 0], [5, 0, 0, 0, 0, 6, 0, 0], [1, 0, 31, 0, 0, 9, 0, 0], [0, 0, 31, 0, 0, 1, 0, 0], [1, 0, 31, 0, 0, 8, 0, 0], [3, 0, 31, 0, 0, 13, 0, 0], [0, 0, 31, 0, 0, 2, 0, 0], [0, 0, 31, 0, 0, 2, 0, 0], [1, 0, 31, 0, 0, 4, 0, 0], [3, 0, 0, 0, 0, 7, 0, 0], [1, 0, 31, 0, 0, 5, 0, 0], [1, 0, 33, 0, 0, 3, 0, 0], [3, 0, 31, 0, 0, 7, 0, 0], [2, 0, 31, 0, 0, 4, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_write@001222c4.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BIO_asn1_get_suffix,[[]],1,"[[5, 0, 0, 0, 0, 15, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BIO_asn1_get_suffix@00122540.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BIO_asn1_set_prefix,[[]],1,"[[4, 0, 0, 0, 0, 10, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BIO_asn1_set_prefix@001224ec.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BN_GF2m_add,"[[16, 1], [0, 16], [0], [12, 5], [11, 3], [], [15], [9, 6], [], [8, 2], [7], [10, 14], [11], [13, 7], [13], [9, 15], []]",17,"[[0, 0, 3, 0, 0, 2, 0, 0], [1, 0, 3, 0, 0, 2, 0, 0], [2, 0, 3, 0, 0, 4, 0, 0], [0, 0, 15, 0, 0, 3, 0, 0], [0, 0, 16, 0, 0, 18, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [2, 0, 7, 0, 0, 6, 0, 0], [0, 0, 8, 0, 0, 3, 0, 0], [1, 0, 0, 0, 0, 2, 0, 0], [1, 0, 5, 0, 0, 3, 0, 0], [1, 0, 9, 0, 0, 2, 0, 0], [1, 0, 12, 0, 0, 2, 0, 0], [0, 0, 13, 0, 0, 2, 0, 0], [2, 0, 10, 0, 0, 9, 0, 0], [1, 0, 10, 0, 0, 5, 0, 0], [2, 0, 7, 0, 0, 7, 0, 0], [1, 0, 0, 0, 0, 3, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_add@0011f668.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BN_GF2m_mod,"[[10, 6], [0, 4], [9], [2, 5], [1, 11], [4], [17, 7], [16], [17, 3], [16], [9], [13], [1, 15], [12, 14], [12], [13], [], []]",18,"[[1, 0, 6, 0, 0, 2, 0, 0], [3, 0, 14, 0, 0, 4, 0, 0], [1, 0, 2, 0, 0, 3, 0, 0], [1, 0, 16, 0, 0, 2, 0, 0], [0, 0, 14, 0, 0, 2, 0, 0], [2, 0, 14, 0, 0, 5, 0, 0], [1, 0, 3, 0, 0, 2, 0, 0], [1, 0, 1, 0, 0, 1, 0, 0], [2, 0, 17, 0, 0, 5, 0, 0], [1, 0, 1, 0, 0, 3, 0, 0], [1, 0, 2, 0, 0, 2, 0, 0], [2, 0, 14, 0, 0, 3, 0, 0], [1, 0, 14, 0, 0, 3, 0, 0], [0, 0, 14, 0, 0, 3, 0, 0], [3, 0, 14, 0, 0, 6, 0, 0], [0, 0, 14, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 3, 0, 0], [8, 0, 0, 0, 0, 11, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod@0011f940.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BN_GF2m_mod_arr,"[[8, 14], [0, 2], [0, 32], [0, 32], [7], [1, 4], [10], [6, 15], [9, 12], [8, 12], [1, 7], [10, 13], [14], [1, 7], [], [34, 11], [34, 11], [24, 21], [17, 29], [], [19, 22], [], [18, 23], [5], [29], [26, 30], [25, 3], [25], [3, 27], [36, 31], [26], [33], [35, 28], [33, 36], [16, 37], [28], [5], [16]]",38,"[[3, 0, 4, 0, 0, 7, 0, 0], [0, 0, 14, 0, 0, 2, 0, 0], [3, 0, 13, 0, 0, 10, 0, 0], [3, 0, 13, 0, 0, 9, 0, 0], [1, 0, 24, 0, 0, 2, 0, 0], [2, 0, 25, 0, 0, 8, 0, 0], [1, 0, 24, 0, 0, 1, 0, 0], [1, 0, 24, 0, 0, 3, 0, 0], [0, 0, 4, 0, 0, 2, 0, 0], [1, 0, 4, 0, 0, 2, 0, 0], [0, 0, 24, 0, 0, 2, 0, 0], [4, 0, 24, 0, 0, 14, 0, 0], [0, 0, 1, 0, 0, 1, 0, 0], [2, 0, 24, 0, 0, 8, 0, 0], [2, 0, 0, 0, 0, 3, 0, 0], [1, 0, 24, 0, 0, 4, 0, 0], [1, 0, 24, 0, 0, 3, 0, 0], [0, 0, 32, 0, 0, 4, 0, 0], [0, 0, 33, 0, 0, 4, 0, 0], [2, 0, 0, 0, 0, 4, 0, 0], [2, 0, 37, 0, 0, 6, 0, 0], [1, 0, 0, 0, 0, 2, 0, 0], [0, 0, 35, 0, 0, 3, 0, 0], [0, 0, 26, 0, 0, 2, 0, 0], [0, 0, 30, 0, 0, 2, 0, 0], [12, 0, 13, 0, 0, 26, 0, 0], [1, 0, 13, 0, 0, 3, 0, 0], [1, 0, 13, 0, 0, 1, 0, 0], [0, 0, 13, 0, 0, 6, 0, 0], [1, 0, 29, 0, 0, 5, 0, 0], [0, 0, 13, 0, 0, 3, 0, 0], [1, 0, 28, 0, 0, 4, 0, 0], [0, 0, 13, 0, 0, 1, 0, 0], [2, 0, 28, 0, 0, 7, 0, 0], [4, 0, 24, 0, 0, 21, 0, 0], [1, 0, 13, 0, 0, 3, 0, 0], [0, 0, 26, 0, 0, 2, 0, 0], [0, 0, 24, 0, 0, 3, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_arr@0011f71c.c
C:\Users\weeyu\OneDrive\Desktop\Gencoding-master\raw-feature-extractor\ida_data\openssl-101f_arm_gcc_O0.ida,BN_GF2m_mod_div,"[[3, 4], [0], [0], [10, 2], [3], [7], [9, 5], [1, 10], [18, 13], [8], [8, 7], [], [11], [11], [], [17, 14], [19, 14], [16, 14], [12], [12, 6]]",20,"[[0, 0, 12, 0, 0, 3, 0, 0], [2, 0, 12, 0, 0, 3, 0, 0], [0, 0, 12, 0, 0, 1, 0, 0], [1, 0, 12, 0, 0, 3, 0, 0], [1, 0, 12, 0, 0, 4, 0, 0], [3, 0, 12, 0, 0, 5, 0, 0], [1, 0, 14, 0, 0, 2, 0, 0], [0, 0, 12, 0, 0, 2, 0, 0], [4, 0, 4, 0, 0, 13, 0, 0], [1, 0, 5, 0, 0, 2, 0, 0], [3, 0, 12, 0, 0, 4, 0, 0], [1, 0, 0, 0, 0, 7, 0, 0], [6, 0, 1, 0, 0, 11, 0, 0], [1, 0, 1, 0, 0, 11, 0, 0], [2, 0, 0, 0, 0, 6, 0, 0], [1, 0, 19, 0, 0, 12, 0, 0], [4, 1, 17, 0, 0, 12, 0, 0], [0, 0, 18, 0, 0, 6, 0, 0], [2, 0, 2, 0, 0, 3, 0, 0], [1, 0, 15, 0, 0, 3, 0, 0]]",openssl-101f,O0,arm,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_div@001201f0.c
