sw,op,arch,func,file_name,response
openssl-101f,O0,arm,asn1_bio_callback_ctrl,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_callback_ctrl@001220f0.c,"The function asn1_bio_callback_ctrl takes three parameters: param_1, param_2, and param_3. It checks if the value stored at the memory address pointed to by (param_1 + 0x24) is not null. If it is not null, then it calls the BIO_callback_ctrl function with the parameters *(BIO **)(param_1 + 0x24), param_2, and param_3. If the value stored at the memory address pointed to by (param_1 + 0x24) is null, then the function simply returns."
openssl-101f,O0,arm,asn1_bio_ctrl,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_ctrl@00122124.c,"The function `asn1_bio_ctrl` takes in a BIO object, an integer, a long integer, and a pointer to an integer, and returns a long integer. The function checks if the ptr field of the BIO object is NULL, and returns 0 if it is. If the value of param_2 is 0x97, the function sets two fields of the ptr array (at indices 10 and 11) to the values pointed to by param_4 and param_4+1, respectively, and returns 1. If the value of param_2 is 0x99, the function sets the 15th element of the ptr array to the value pointed to by param_4, and returns 1."
openssl-101f,O0,arm,asn1_bio_free,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_free@001220fc.c,"The function takes an integer parameter (param_1) and frees the memory allocated to a structure pointed to by a pointer stored at an offset of 0x20 from the start of the structure. If the pointer is not null, the function checks if another pointer stored at an offset of 4 from the first pointer is null. If it is not null, the memory allocated to that pointer is also freed. Then, the memory allocated to the first pointer is freed using CRYPTO_free function. Finally, the function sets some fields of the structure to zero and returns 1 if memory was freed successfully, otherwise it returns 0."
openssl-101f,O0,arm,asn1_bio_write,./data/decomp/openssl-101f_arm_gcc_O0_extraction/asn1_bio_write@001222c4.c,"The function takes in a BIO object, a data buffer, and the length of the data buffer. It returns a BIO object. The function checks if the data buffer is null and sets pbVar4 to 1 if it is. It then checks if pbVar4 is not null, if the next BIO object in the chain is null, or if the pointer in the BIO object is null. If any of these conditions are true, it returns the current BIO object. The function then enters a loop that switches on the method of the current BIO object. The possible methods are: 0x0. If the pointer in the BIO object is not null, it calls the function pointed to by the pointer, passing in the current BIO object, the number of bytes read, the number of bytes written, and some additional data. If the function returns 0, it clears the flags of the BIO object and returns null."
openssl-101f,O0,arm,BIO_asn1_get_suffix,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BIO_asn1_get_suffix@00122540.c,"The function takes a BIO object, retrieves a suffix using BIO_ctrl, assigns it to a local variable, and returns its length. If the length is greater than 0, it assigns the suffix and suffix free values to pointers passed in as arguments."
openssl-101f,O0,arm,BIO_asn1_set_prefix,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BIO_asn1_set_prefix@001224ec.c,"The function BIO_asn1_set_prefix takes in a BIO object pointer, a prefix pointer, and a prefix_free pointer. It declares two local variables and assigns them to the prefix and prefix_free pointers. It then calls the BIO_ctrl function with the control command 0x95 and passes in a pointer to the prefix variable. The return value of the BIO_ctrl function is returned by the BIO_asn1_set_prefix function. The purpose of this function is unclear without more context about the program and its use of BIO objects and ASN.1 encoding."
openssl-101f,O0,arm,BN_GF2m_add,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_add@0011f668.c,"The function BN_GF2m_add performs addition of two binary polynomials represented as BIGNUMs in GF(2^m) finite field. The function takes three parameters: param_1, param_2 and param_3, which are pointers to BIGNUMs representing the result, the first operand and the second operand, respectively. The function determines the size of the operands and expands the result BIGNUM if necessary. The actual addition is performed by XORing the corresponding words of the two operands and storing the result in the corresponding word of the result BIGNUM. The loop terminates when all significant words of the smaller operand have been processed. After the addition, the function removes any leading zero words from the result BIGNUM and updates its ""top"" field accordingly. Finally, the function returns."
openssl-101f,O0,arm,BN_GF2m_mod,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod@0011f940.c,"The function takes three parameters: param_1, param_2, and param_3. The first two are integers, while the third is a pointer to an integer array. The function first checks if the second parameter is equal to zero. If it is, the function sets an error and returns 0. Next, the function calculates the length of the third parameter array and subtracts 1 from it. If the result is less than 0, the function sets a pointer to a local array called aiStack_30. Otherwise, it loops through the elements of the array and checks if they are non-zero. If an element is non-zero, it calculates the index of the bit that is set and stores it in the aiStack_30 array. After the aiStack_30 array has been populated, the function calls another function called BN_GF2m_mod_arr with the first and second parameters and the aiStack_30 array. The result of this function call is returned."
openssl-101f,O0,arm,BN_GF2m_mod_arr,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_arr@0011f71c.c,"The function BN_GF2m_mod_arr() takes three parameters: two BIGNUM pointers (param_1 and param_2) and a pointer to an unsigned integer (param_3). It returns an integer value. The function first checks if the value pointed to by param_3 is zero. If it is, it sets param_1 to zero and returns 1. If param_2 is equal to param_1, it sets puVar11 to param_1->d and iVar5 to param_1->top. Otherwise, it sets iVar5 to param_2->top and checks if param_1 has enough space to hold the value of param_2. If not, it expands param_1 to the required size. Then, it copies the value of param_2 to param_1 and sets param_1->top to iVar5. The function then enters a loop that iterates over the bits of param_3. For each non-zero bit."
openssl-101f,O0,arm,BN_GF2m_mod_div,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_div@001201f0.c,"The function BN_GF2m_mod_div performs modular division in a binary field (GF(2^m)) and takes five parameters. It starts a BN_CTX context, creates a new BIGNUM structure, and checks for null or zero return from BN_GF2m_mod_inv. It calculates the number of bits in the input BIGNUM structure and allocates memory for an array of integers. It iterates through the bits of the input BIGNUM structure, stores the positions of the set bits in the allocated array, and determines the number of elements in the array. The function returns 0 if memory allocation fails or if certain conditions are true."
openssl-101f,O0,arm,BN_GF2m_mod_div_arr,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_div_arr@0012031c.c,"The function takes in four parameters and a BN_CTX pointer. It starts a BN_CTX context and creates a BIGNUM variable. It sets the value of the BIGNUM variable to 0 and initializes a variable to the first element of the fourth parameter. It enters a loop that continues until the variable is -1. Within the loop, it sets the bit at a certain position of the BIGNUM variable and increments the fourth parameter. It then updates the variable to the value of the new element pointed to by the fourth parameter. Once the loop terminates, it calls BN_GF2m_mod_div() with the parameters and stores the result."
openssl-101f,O0,arm,BN_GF2m_mod_mul,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_mul@0011fc6c.c,"The function BN_GF2m_mod_mul() takes in five parameters: three undefined values, a pointer to a BIGNUM structure, and another undefined value. It determines the number of bits in the input BIGNUM using BN_num_bits() and allocates memory to store an array of integers. It iterates through the words of the BIGNUM, checks each bit to see if it is set to 1, and adds the index of that bit to the array of integers. After all the bits of the BIGNUM have been processed, the function pads the array with 0xffffffff values until it reaches the size determined earlier."
openssl-101f,O0,arm,BN_GF2m_mod_mul_arr,./data/decomp/openssl-101f_arm_gcc_O0_extraction/BN_GF2m_mod_mul_arr@0011fb08.c,"The function BN_GF2m_mod_mul_arr() computes the product of two polynomials in GF(2^m) and reduces the result modulo a given irreducible polynomial. It takes in five parameters: an undefined integer, two arrays of integers, an undefined integer, and a BN_CTX structure. 

If the input arrays are the same, the function calls BN_GF2m_mod_sqr_arr() to compute the square of the polynomial. Otherwise, it initializes a new BIGNUM structure called ""a"" using BN_CTX_get() and expands it if necessary using bn_expand2(). 

The function then loops through the coefficients of the two input polynomials and multiplies them using bn_GF2m_mul_2x2() to obtain the product of each pair of coefficients. It then XORs this product with the corresponding coefficient of the result polynomial, which is stored in the ""a"" BIGNUM structure."
